eintrag,haus,lage,jahr,hypothek,typen,std-geb,gebühr,verhältnis,std-preis,preis,original
GB-C 081-1,DB5527,Am Gestade,1420,,,72,72 d.,,,,
GB-C 081-2,DB5482,Kammerhof / unter den langen Tuchlauben,1420,,,72,72 d.,,,,
GB-C 081-3,keine_id,Stubentor,1420,,1 2 3 ,72,72 d.,,,,
GB-C 081-4,keine_id,Teinfaltstraße,1420,,,,0 d.,,,,
GB-C 082-1,keine_id,Kernerstraße,1420,,,72,72 d.,,,,
GB-C 082-2,keine_id,Greut / vor Stubentor,1420,,,,0 d.,,,,
GB-C 082-3,DB0047,#Alserstraße / vor Schottentor,1420,,,72,72 d.,,,,
GB-C 082-4,keine_id,Kernerstraße / St. Clara,1420,,,72,72 d.,,,,
GB-C 083-1,DB1007,Herzoghof / Lederhof,1420,,,72,72 d.,,,,
GB-C 083-2,DB1007,Herzoghof / Lederhof,1420,,,72,72 d.,,,,
GB-C 083-3,keine_id,Alter Kohlmarkt,1420,,,72,72 d.,,,,
GB-C 083-4,keine_id,Haarmarkt,1420,,,144,0.5 tl. 24 d.,,,,
GB-C 084-1,keine_id,Kienmarkt / Kürsenhaus,1420,,,72,72 d.,,,,
GB-C 084-2,keine_id,,1420,,,72,72 d.,,,,
GB-C 084-3,keine_id,Kernerstraße,1420,,,72,72 d.,,,,
GB-C 084-4,keine_id,vordere Peckenstraße,1420,,,72,72 d.,,,,
GB-C 085-1,keine_id,bei den Predigern,1420,,erbe ,144,0.5 tl. 24 d.,,,,
GB-C 085-2,DB0021,Alserstraße / vor Schottentor,1420,,,,0 d.,,,,
GB-C 085-3,keine_id,Kernerstraße,1420,,,72,72 d.,,,,
GB-C 085-4,keine_id,St. Johannsstraße,1420,,,288,9 s. 18 d.,,,,
GB-C 085-5,keine_id,Kernerstraße,1420,,,72,72 d.,,,,
GB-C 086-1,keine_id,Walichstraße,1420,,,72,72 d.,,,,
GB-C 086-2,keine_id,Walichstraße,1420,ja,,72,72 d.,,,,
GB-C 086-3,keine_id,vor Kernertor,1420,ja,,264,1 tl. 24 d.,,,,
GB-C 087-1,keine_id,Neuer Markt,1420,,,72,72 d.,,,,
GB-C 087-2,DB5472,Peurertor,1420,,,72,72 d.,,,,
GB-C 087-3,keine_id,Himmelpforten,1420,,,72,72 d.,,,,
GB-C 087-4,keine_id,Werd / vor Werdertor,1420,,,72,72 d.,,,,
GB-C 088-1,keine_id,Roter Turm,1420,ja,,72,72 d.,975,292.5,292.5 tl.,umb zwayhundert und dritthalbs und newnczig phunt Wienner phenning  
GB-C 088-2,keine_id,Wollzeile,1420,,,216,7 s. 6 d.,,,,
GB-C 088-3,keine_id,Burg / vor Widmertor,1420,,,72,72 d.,,,,
GB-C 089-1,keine_id,Kernerstraße,1420,ja,,72,72 d.,,,,
GB-C 089-2,keine_id,innerhalb Werdertor,1420,,,72,72 d.,,,,
GB-C 089-3,keine_id,Alter Fleischmarkt,1420,,erbe ,100,3 s. 10 d.,,,,
GB-C 089-4,keine_id,hintere Peckenstraße,1420,,,50,50 d.,,,,
GB-C 089-5,DB5502,Kammerhof,1434,ja,,216,7 s. 6 d.,,,,
GB-C 090-1,keine_id,Alter Fleischmarkt,1420,,,72,72 d.,,,,
GB-C 090-2,keine_id,vor Kernertor,1420,,,72,72 d.,,,,
GB-C 090-3,keine_id,Grashof,1420,,,72,72 d.,,,,
GB-C 090-4,keine_id,Salzgries,1420,,,72,72 d.,,,,
GB-C 091-1,keine_id,Salzgries,1420,,,72,72 d.,,,,
GB-C 091-2,keine_id,vor Kernertor,1420,,erbe ,144,0.5 tl. 24 d.,,,,
GB-C 091-3,DB5030,Schiltergasse,1420,,erbe ,72,72 d.,,,,
GB-C 091-4,keine_id,Strauchgasse,1420,,erbe ,,0 d.,,,,
GB-C 092-1,DB5113,hinter St. Pankraz,1420,,,60,60 d.,,,,
GB-C 092-2,keine_id,Graben,1420,,,144,0.5 tl. 24 d.,,,,
GB-C 092-3,DB5213,Wiltwerkerstraße,1420,,,72,72 d.,,,,
GB-C 092-4,keine_id,Landstraße,1420,ja,,72,72 d.,,,,
GB-C 093-1,keine_id,Kernerstraße,1420,,,144,0.5 tl. 24 d.,,,,
GB-C 093-2,keine_id,Kernerstraße,1420,,,72,72 d.,,,,
GB-C 093-3,DB1073,Hoher Markt / Wiltwerkerstraße,1420,,,72,72 d.,,,,
GB-C 093-4,keine_id,Roter Turm,1420,,,144,0.5 tl. 24 d.,,,,
GB-C 094-1,keine_id,Wollzeile,1420,,,72,72 d.,,,,
GB-C 094-2,keine_id,Wollzeile,1420,,,72,72 d.,,,,
GB-C 094-3,keine_id,Wollzeile,1420,,,72,72 d.,,,,
GB-C 095-1,keine_id,Neuer Markt,1420,,,72,72 d.,,,,
GB-C 095-2,keine_id,vordere Peckenstraße,1420,,,72,72 d.,,,,
GB-C 095-3,keine_id,vordere Peckenstraße,1420,,,72,72 d.,,,,
GB-C 095-4,keine_id,Roter Turm,1420,,,,0 d.,,,,
GB-C 096-1,keine_id,Alter Rossmarkt,1420,,,72,72 d.,,,,
GB-C 096-2,DB5212,Wiltwerkerstraße,1420,,,72,72 d.,,,(Burgrecht),umb die hundert pfunt pfenning  
GB-C 096-3,keine_id,Petersfreithof,1420,,,72,72 d.,,,,
GB-C 097-1,DB3006,Kernerstraße,1420,,,72,72 d.,,,,
GB-C 097-2,DB3006,Kernerstraße,1420,,,72,72 d.,,,,
GB-C 097-3,DB3006,Kernerstraße,1420,,,72,72 d.,,,,
GB-C 097-4,keine_id,Alter Rossmarkt,1420,,,,0 d.,,,,
GB-C 098-1,keine_id,Singerstraße,1420,,,72,72 d.,166,50,50 tl.,umb funfczig phunt Wienner phenning  
GB-C 098-2,keine_id,Haarmarkt / Vechtbrunnen,1420,,,72,72 d.,,,,
GB-C 098-3,keine_id,Haarmarkt / Vechtbrunnen,1431,,,72,72 d.,,,,
GB-C 099-1,keine_id,innerhalb Kernertor / Kernerstraße,1421,ja,,72,72 d.,,,,
GB-C 099-2,DB5424a,Hoher Markt,1421,,,72,72 d.,,,,
GB-C 099-3,DB5424b,Hoher Markt,1421,,,72,72 d.,,,,
GB-C 100-1,DB5307,Herzoghof,1421,,,,,,,,
GB-C 100-2,keine_id,Himmelpforten / Weihenburg,1421,,,144,0.5 tl. 24 d.,,,,
GB-C 100-3,keine_id,Tirna,1421,,,72,72 d.,,,,
GB-C 100-4,keine_id,St. Johannsstraße,1426,,,72,72 d.,,,,
GB-C 101-1,keine_id,Haarmarkt / Vechtbrunnen,1421,,,72,72 d.,,,,
GB-C 101-2,keine_id,Singerstraße,1421,,,216,7 s. 6 d.,,,,
GB-C 101-3,keine_id,Lichtensteg,1421,,,72,72 d.,,,,
GB-C 101-4,keine_id,Lichtensteg,1421,ja,,72,72 d.,,,,
GB-C 102-1,keine_id,Kienmarkt,1421,,,72,72 d.,,,,
GB-C 102-2,keine_id,Kienmarkt,1422,,,144,0.5 tl. 24 d.,,,,
GB-C 102-3,keine_id,Laurenzerinnen,1422,,,72,72 d.,,,,
GB-C 103-1,DB1063,Wiltwerkerstraße,1421,,,144,0.5 tl. 24 d.,,,,
GB-C 103-2,keine_id,Predigerfreithof,1421,,,,0 d.,,,,
GB-C 103-3,keine_id,Gässlein zu unser lieben Frau,1421,,,72,72 d.,,,,
GB-C 103-4,keine_id,Gässlein zu unser lieben Frau,1421,,,288,9 s. 18 d.,,,,
GB-C 104-1,keine_id,Weihenburg,1421,,,72,72 d.,,,,
GB-C 104-2,DB5038,Judengasse,1421,,schenkung ,,0 d.,,,,
