eintrag,haus,lage,jahr,hypothek,typen,std-geb,gebühr,verhältnis,std-preis,preis,original
GB-D 0004-1,keine_id,Roter Turm,1438,ja,,,0 d.,,,,
GB-D 0004-2,DB5503,Münzerstraße,1438,,,1500,6 tl. 60 d.,128,800,800 tl.,umb Achthundert phunt Wienner phenning  
GB-D 0004-3,DB5504,Kammerhof,1438,,kauf ,400,13 s. 10 d.,120,200,200 tl.,umb iiᶜ tl. d.  
GB-D 0005-1,keine_id,Krugstraße,1437,,,72,72 d.,,,,
GB-D 0005-2,DB5205,Wiltwerkerstraße,1438,ja,kauf ,600,2.5 tl.,100,250,250 tl.,umb ii½ᶜ tl. d.  
GB-D 0005-3,keine_id,Domprobsthof,1438,,,,0 d.,,,,
GB-D 0005-4,DB0045,Alserstraße,1438,ja,kauf ,116,3 s. 26 d.,120,58,58 tl.,umb lviii tl. d.  
GB-D 0006-1,keine_id,Kernerstraße,1438,ja,,72,72 d.,,,,
GB-D 0006-2,keine_id,Lichtensteg,1438,,,72,72 d.,,,,
GB-D 0006-3,keine_id,Pippingerstraße,1438,,kauf ,128,0.5 tl. 8 d.,120,64,64 tl.,umb lxiiii tl. d.  
GB-D 0006-4,keine_id,innerhalb Werdertor,1438,,kauf ,76,76 d.,120,38,38 tl.,umb xxxviii tl. d.  
GB-D 0007-1,keine_id,Lichtensteg,1438,,,72,72 d.,,,,
GB-D 0007-2,keine_id,unter den Fischern / vor Werdertor,1439,,,72,72 d.,,,,
GB-D 0007-3,keine_id,Wollzeile,1439,,,960,4 tl.,,,,
GB-D 0008-1,keine_id,Riemergasse / St. Jakob,1439,ja,,100,3 s. 10 d.,120,50,50 tl.,umb l tl. d.  
GB-D 0008-2,keine_id,vor Werdertor,1439,,kauf ,400,13 s. 10 d.,2400,4000,4000 tl.,umb cccc tl. d.  
GB-D 0008-3,keine_id,vor Werdertor,1439,,kauf ,34,34 d.,120,17,17 tl.,umb xvii tl. d.  
GB-D 0008-4,keine_id,St. Johannsstraße,1439,ja,,72,72 d.,,,,
GB-D 0009-1,keine_id,vor Werdertor,1439,,,72,72 d.,,,,
GB-D 0009-2,keine_id,Alter Fleischmarkt / Laurenzerinnen,1439,,,72,72 d.,,,,
GB-D 0009-3,DB0035,Alserstraße,1439,,kauf ,12,12 d.,120,6,6 tl.,umb vi tl. d.  
GB-D 0009-4,keine_id,innerhalb Werdertor,1440,,kauf ,54,54 d.,120,27,27 tl.,umb xxvii tl. d.  
GB-D 0010-1,keine_id,vor Werdertor,1440,,,72,72 d.,,,,
GB-D 0010-2,keine_id,Weihenburg,1440,ja,,320,10 s. 20 d.,,,,
GB-D 0010-3,DB1211,Wiltwerkerstraße,1445,ja,,72,72 d.,,,,
GB-D 0011-1,keine_id,Riemergasse,1440,,,300,10 s.,,,,
GB-D 0011-2,keine_id,Weihenburg,1440,ja,,60,60 d.,,,,
GB-D 0011-3,keine_id,Singerstraße,1440,ja,,216,7 s. 6 d.,,,,
GB-D 0012-1,keine_id,Teinfaltstraße,1440,,,72,72 d.,,,,
GB-D 0012-2,DB1060,Wiltwerkerstraße,1439,,kauf ,310,10 s. 10 d.,120,155,155 tl.,umb Clv tl. d. 
GB-D 0012-3,keine_id,Riemergasse / St. Jakob,1441,,kauf ,130,4 s. 10 d.,92,50,50 tl.,umb l tl. d.  
GB-D 0013-1,keine_id,vor Stubentor,1441,ja,,216,7 s. 6 d.,,,,
GB-D 0013-2,DB0400,Kremserstraße / vor Widmertor,1441,,,40,40 d.,120,20,20 tl.,umb xx tl. d.  
GB-D 0013-3,keine_id,Neuer Markt,1441,,kauf ,360,12 s.,120,180,180 tl.,umb Clxxx tl. d.  
GB-D 0014-1,keine_id,St. Johann / vor Werdertor,1441,ja,,72,72 d.,,,,
GB-D 0014-2,DB0131,Altdonau,1441,,kauf ,60,60 d.,176,44,44 tl.,umb xliiii tl.  
GB-D 0014-3,DB5490,unter den langen Tuchlauben,1441,ja,,400,13 s. 10 d.,120,200,200 tl.,umb cc tl. d.  
GB-D 0015-1,keine_id,Alter Kohlmarkt,1441,ja,,72,72 d.,,,,
GB-D 0015-2,keine_id,Alter Fleischmarkt,1442,,,72,72 d.,,,,
GB-D 0015-3,DB0400,Kremserstraße,1442,,,40,40 d.,120,20,20 tl.,umb xx tl. d.  
GB-D 0015-4,keine_id,Wollzeile,1442,,,360,12 s.,,,,
GB-D 0016-1,keine_id,Wollzeile,1442,,kauf ,760,3 tl. 40 d.,120,380,380 tl.,umb ccclxxx tl. d.  
GB-D 0016-2,keine_id,Singerstraße,1442,ja,kauf ,144,0.5 tl. 24 d.,120,72,72 tl.,umb lxxii tl. d.  
GB-D 0017-1,keine_id,bei den Predigern,1443,,,62,62 d.,,,,
GB-D 0017-2,keine_id,Lichtensteg,1443,ja,,72,72 d.,,,,
GB-D 0018-1,keine_id,Burg,1443,,,72,72 d.,,,,
GB-D 0018-2,keine_id,Alter Fleischmarkt,1443,,,86,86 d.,,,,
GB-D 0018-3,DB6000,Scheffstraße,1443,,,36,36 d.,120,18,18 tl.,umb xviii tl. d.  
GB-D 0018-4,keine_id,vor Werdertor,1443,,,40,40 d.,240,40,40 tl.,umb xl tl. d.  
GB-D 0019-1,DB0043,#Alserstraße / vor Schottentor,1443,ja,,,,,51,51 tl.,umb Ainsundfunfczigk phund pfenning  
GB-D 0019-2,DB0043,#Alserstraße / vor Schottentor,1443,ja,kauf ,112,3 s. 22 d.,109,51,51 tl.,umb Ainsundfunfczig pfund pfenning  
GB-D 0020-1,keine_id,Wollzeile,1443,,,380,12 s. 20 d.,,,,
