eintrag,haus,lage,jahr,hypothek,typen,std-geb,gebühr,verhältnis,std-preis,preis,original
GB-E 0004-1,keine_id,Landskron,1474,,erbe ,72,72 d.,,,,
GB-E 0004-2,keine_id,Färberstraße / St. Dorothea,1474,,,,0,,,,
GB-E 0004-3,keine_id,vor Kernertor,1474,,,360,12 s.,,,,
GB-E 0005-1,keine_id,Alter Rossmarkt,1474,,,72,72 d.,,,,
GB-E 0005-2,keine_id,Graben / unter den Schlossern,1474,ja,,72,72 d.,,,,
GB-E 0005-3,keine_id,vordere Peckenstraße,1474,,,72,72 d.,,,,
GB-E 0006-1,keine_id,vordere Peckenstraße,1474,,,72,72 d.,,,,
GB-E 0006-2,keine_id,Alter Kohlmarkt / #St. Michael,1474,,,,,,333,250 UG,umb dritthalb hundert ungrisch guldein  
GB-E 0006-3,keine_id,vor Werdertor,1474,,,216,7 s. 6 d.,,,,
GB-E 0007-1,keine_id,vor Werdertor,1474,,,180,6 s.,120,90,90 tl.,umb Newnczigk phunt phenning  
GB-E 0007-2,keine_id,Walichstraße,1474,,kauf ,130,4 s. 10 d.,120,65,65 tl.,umb funfundsechczig phunt phenning  
GB-E 0007-3,DB1020,Wiltwerkerstraße,1474,,,72,72 d.,,,,
GB-E 0007-4,keine_id,Alter Rossmarkt,1474,ja,,72,72 d.,,,,
GB-E 0008-1,keine_id,Lichtensteg,1474,,,170,5 s. 20 d.,,,,
GB-E 0008-2,keine_id,St. Johannsstraße,1474,,,216,7 s. 6 d.,,,,
GB-E 0008-3,keine_id,St. Johannsstraße,1474,,,72,72 d.,60,18,18 tl.,umb Achczehen phunt phenning  
GB-E 0009-1,keine_id,Riemergasse,1474,,,144,4 s. 24 d.,,,,
GB-E 0009-2,DB7022,Wollzeile,1474,,,,,,,,
GB-E 0009-3,DB7022,Wollzeile,1474,,,500,2 tl. 20 d.,127,266,200 G,umb zway hundert guldein  
GB-E 0010-1,keine_id,Stephansfreithof,1474,,,288,9 s. 18 d.,,,,
GB-E 0010-2,keine_id,Fischerstiege,1473,,,144,4 s. 24 d.,,,,
GB-E 0010-3,keine_id,Fischerstiege / Laurenzerinnen / St. Jakob,1474,,,144,4 s. 24 d.,,,,
GB-E 0011-1,DB1057,Wiltwerkerstraße,1474,,,72,72 d.,,,,
GB-E 0011-2,DB5563,Hühnergässchen,1474,,,72,72 d.,,,,
GB-E 0011-3,keine_id,Greut / vor Stubentor,1474,,,504,2 tl. 24 d.,,,,
GB-E 0011-4,keine_id,Greut / vor Stubentor,1474,,kauf ,200,6 s. 20 d.,,,,
