eintrag,haus,lage,jahr,hypothek,typen,std-geb,gebühr,verhältnis,std-preis,preis,original
KB-E 005-1,keine_id,vor Werdertor,1420,,verkauf ,144,0.5 tl. 24 d.,120,72,72 tl.,umb zway und Sybenczig phunt Wienner phennig 
KB-E 005-2,keine_id,vor Widmertor,1420,ja,verkauf ,52,52 d.,120,26,26 tl.,umb Sechs und zwainczig phunt Wienner phenning 
KB-E 005-3,DB5012a,Tiefer Graben,1420,ja,verkauf ,20,20 d.,120,10,10 tl.,umb zehen phunt Wienner pehning  
KB-E 005-4,DB5012a,Tiefer Graben,1420,,kredit ,16,16 d.,,,,
KB-E 006-1,keine_id,Kernerstraße,1420,,überschreibung ,340,11 s. 10 d.,,,,
KB-E 006-2,keine_id,Krugstraße,1420,,verkauf ,100,3 s. 10 d.,120,50,50 tl.,umb funfczig phunt Wienner phenning 
KB-E 006-3,keine_id,Weihenburg,1420,,verkauf ,130,0.5 tl. 10 d.,120,65,65 tl.,umb funf und Sechczig phunt Wienner phenning  
KB-E 007-1,keine_id,Laimgrube,1420,,verkauf ,29,29 d.,120,14.5,14.5 tl.,umb funfczehenthalb phunt Wienner phenning 
KB-E 007-2,keine_id,Kernerstraße,1420,,verkauf ,200,6 s. 20 d.,120,100,100 tl.,umb hundert phunt Wienner phenning 
KB-E 007-3,keine_id,Heumarkt,1421,,verkauf ,56,56 d.,120,28,28 tl.,umb Acht und zwainczig phunt phenning  
KB-E 008-1,keine_id,Lichtensteg,1421,,verkauf ,400,13 s. 10 d.,120,200,200 tl.,umb zway hundert phunt Wienner phenning 
KB-E 008-2,keine_id,Weihenburg,1421,,verkauf ,24,24 d.,120,12,12 tl.,umb zwelf phunt Wienner phenning 
KB-E 008-3,keine_id,Kernerstraße,1421,,schenkung ,250,1 tl. 10 d.,,,,
KB-E 009-1,keine_id,Greut,1421,ja,verkauf ,180,6 s.,120,90,90 tl.,umb Newnczig phunt Wienner phenning  
KB-E 009-2,keine_id,St. Jakob,1421,,verkauft ,36,36 d.,120,18,18 tl.,umb achczehen phunt Wienner phenning 
KB-E 009-3,keine_id,Pippingerstraße,1421,,verkauf ,28,28 d.,120,14,14 tl.,umb virczehen phunt Wienner phenning 
KB-E 010-1,DB0047,Alserstraße,1421,ja,verkauf ,84,84 d.,120,42,42 tl. 60 d.,umb zway und virczicg phunt und umb sechtzig Wienner phenning 
KB-E 010-2,DB0047,Alserstraße,1421,,verkauf ,,0 d.,,42,42 tl. 60 d.,umb zway und d virczigk pfunt Wienner pfenning und sechczig pfenning derselben Munss 
KB-E 010-3,keine_id,Greut,1421,ja,verkauf ,48,48 d.,120,24,24 tl.,umb vier und zwainczigk phunt Wienner phenning 
KB-E 011-1,keine_id,Predigerfreithof,1421,,verkauf ,700,2.5 tl. 3 s. 10 d.,120,350,350 tl.,umb drewhundert und funfczig phunt Wienner phenning 
KB-E 011-2,DB6000,Scheffstraße,1422,ja,schenkung ,8,8 d.,120,4,4 tl.,umb vier phunt Wienner phenning 
KB-E 011-3,keine_id,vor Stubentor,1422,,überschreibung ,90,3 s.,,,,
KB-E 011-4,keine_id,unter den langen Tuchlauben,1422,,verkauf ,100,3 s. 10 d.,120,50,50 tl.,umb funfczig phunt Wienner phenning  
KB-E 012-1,keine_id,vor Kernertor,1422,,überschreibung ,98,98 d.,,,,
KB-E 012-2,keine_id,Peurertor,1422,,verkauf ,130,0.5 tl. 10 d.,120,65,65 tl.,umb funf und Sechczig phunt Wienner phenning 
KB-E 012-3,keine_id,Himmelpforten,1422,ja,verkauf ,34,34 d.,120,17,17 tl.,umb Sibenczehen phunt Wienner phenning  
KB-E 013-1,keine_id,Weihenburg,1422,,verkauf ,32,32 d.,120,16,16 tl.,umb sechczehen phunt Wienner phenning 
KB-E 013-2,keine_id,Petersfreithof,1422,,verkauf ,30,30 d.,120,15,15 tl.,umb funfczehen phunt Wienner phenning  
KB-E 013-3,DB0001,Neulucke,1422,,verkauf ,48,48 d.,120,24,24 tl.,umb vier und zwainczig phunt Wienner phenning 
KB-E 013-4,DB5240,Wiltwerkerstraße,1422,,verkauf ,154,5 s. 4 d.,120,77,77 tl.,umb lxxvii tl. d.  
KB-E 013-5,keine_id,Traibotenstraße,1422,,verkauf ,50,50 d.,120,25,25 tl.,umb xxv tl. d. 
KB-E 014-1,keine_id,Preidenstraße,1423,,überschreibung ,480,2 tl.,,,,
KB-E 014-2,keine_id,Predigerfreithof,1423,,,730,3 tl. 10 d.,120,365,365 tl.,umb drewhundert und funfund Sechczig pfunt Wienner phenning  
KB-E 014-3,keine_id,Singerstraße,1423,,verkauf ,384,12 s. 24 d.,120,192,192 tl.,umb hundert und zway undNewmczig pfunt Wienner pfenning  
KB-E 014-4,DB6000,Rosstränke,1423,,verkauf ,64,64 d.,120,32,32 tl.,umb xxxii tl. d.  
KB-E 014-5,keine_id,Salzgries,1423,,verkauf ,150,5 s.,240,150,150 tl.,umb i½ᶜ tl. d.  
KB-E 015-1,keine_id,Kernerstraße,1423,,verkauf ,260,1 tl. 20 d.,120,130,130 tl.,umb hundert und xxx tl. Wienner phenning  
KB-E 015-2,keine_id,Singerstraße,1423,,verkauf ,,6 s. ?,,90,90 tl.,umb lxxxx tl. d.  
KB-E 015-3,DB7001,Würffel,1423,,verkauf ,442,14 s. 22 d.,120,221,221 tl.,umb iiᶜ und xxi tl. phenning  
KB-E 015-4,keine_id,vor Werdertor,1423,,verkauf ,140,0.5 tl. 20 d.,120,70,70 tl.,umb lxx tl. d.  
KB-E 015-5,keine_id,Petersfreithof,1423,,verkauf ,,,,6,6 tl.,umb vi tl. d.  
KB-E 016-1,keine_id,Kienmarkt,1423,,verkauf ,330,11 s.,120,165,165 tl.,umb hundert und funnfundSechczig pfunt Wienner phenning  
KB-E 016-2,keine_id,Preidenstraße,1423,,verkauf ,540,18 s.,120,270,270 tl.,umb iiᶜ lxx tl. d. 
KB-E 016-3,DB1057,Wiltwerkerstraße,1423,,verkauf ,460,15 s. 10 d.,120,230,230 tl.,umb iiᶜ xxx tl. d. 
KB-E 016-4,keine_id,Stephansfreithof,1423,ja,,180,6 s.,,,,
KB-E 016-5,keine_id,Kernerstraße,1423,,verkauf ,218,7 s. 8 d.,120,109,109 tl.,umb hundert newn pfunt d.  
KB-E 017-1,keine_id,vor Kernertor,1424,ja,verkauf ,20,20 d.,1200,100,100 tl.,umb iᶜ tl. Wienner phenning  
KB-E 017-2,keine_id,Alter Fleischmarkt,1424,,überschreibung ,450,15 s.,,,,
KB-E 017-3,DB7028,Kernerstraße,1424,,verkauf ,1700,7 tl. 20 d.,35,250,250 tl.,umb dritthalb hundert phund Wienner phenning  
KB-E 017-4,keine_id,Laimgrube,1424,,verkauf ,41,41 d.,120,20.5,20.5 tl.,umb xx tl. und ½ tl. d.  
KB-E 017-5,keine_id,Wollzeile,1424,,verkauf ,600,2.5 tl.,120,300,300 tl.,umb iiiᶜ tl. Wienner phenning  
KB-E 018-1,keine_id,unter den Goldschmieden,1424,ja,verkauf ,420,14 s.,120,210,210 tl.,umb iiᶜ und x tl. d.  
KB-E 018-2,keine_id,bei den Predigern,1424,,verkauf ,72,72 d.,121,36.5,36.5 tl.,umb xxxvi½ tl. Wienner phenning  
KB-E 018-3,DB5486a,unter den langen Tuchlauben,1424,,verkauf ,400,13 s. 10 d.,120,200,200 tl.,umb iiᶜ tl. Wienner phenning  
