"Zählung 
Helmchen",Scan-Dateiname,"originale 
Scan-Nummer",Eintrag,"Foliierung 
arabisch","Foliierung 
lateinisch",Kommentar
Vorderdeckel außen,GB-E_0000,#0001,,,,Zählung ab 0000: siehe README
Vorderdeckel innen,GB-E_0000a,,,,,nachträglich eingefügt
fol. 1r,GB-E_0001,#0002,(GRDB. WIEN),I,,
fol. 1v,GB-E_0002,,(Renovirt 1569),,,nachträglich eingefügt
fol. 2r,GB-E_0003,#0003,(Titelseite),II,,
fol. 2v,,,,,,Scan fehlt (Seite ist leer)
fol. 3r,GB-E_0004,#0004,GB-E 0004-x,1,,
fol. 3v,GB-E_0005,#0005,GB-E 0005-x,,,
fol. 4r,GB-E_0006,#0006,GB-E 0006-x,2,,
fol. 4v,GB-E_0007,#0007,GB-E 0007-x,,,
fol. 5r,GB-E_0008,#0008,GB-E 0008-x,3,iii,
fol. 5v,GB-E_0009,#0009,GB-E 0009-x,,,
fol. 6r,GB-E_0010,#0010,GB-E 0010-x,4,iiii,
fol. 6v,GB-E_0011,#0011,GB-E 0011-x,,,
fol. 7r,GB-E_0012,#0012,GB-E 0012-x,5,v,
fol. 7v,GB-E_0013,#0013,GB-E 0013-x,,,
fol. 8r,GB-E_0014,#0014,GB-E 0014-x,6,vi,
fol. 8v,GB-E_0015,#0015,GB-E 0015-x,,,
fol. 9r,GB-E_0016,#0016,GB-E 0016-x,7,vii,
fol. 9v,GB-E_0017,#0017,GB-E 0017-x,,,
fol. 10r,GB-E_0018,#0018,GB-E 0018-x,8,viii,
fol. 10v,GB-E_0019,#0019,GB-E 0019-x,,,
fol. 11r,GB-E_0020,#0020,GB-E 0020-x,9,viiii,
fol. 11v,GB-E_0021,#0021,GB-E 0021-x,,,
fol. 12r,GB-E_0022,#0022,GB-E 0022-x,10,x,
fol. 12v,GB-E_0023,#0023,GB-E 0023-x,,,
fol. 13r,GB-E_0024,#0024,GB-E 0024-x,11,xi,
fol. 13v,GB-E_0025,#0025,GB-E 0025-x,,,
fol. 14r,GB-E_0026,#0026,GB-E 0026-x,12,xii,
fol. 14v,GB-E_0027,#0027,GB-E 0027-x,,,
fol. 15r,GB-E_0028,#0028,GB-E 0028-x,13,xiii,
fol. 15v,GB-E_0029,#0029,GB-E 0029-x,,,
fol. 16r,GB-E_0030,#0030,GB-E 0030-x,14,xiii,
fol. 16v,GB-E_0031,#0031,GB-E 0031-x,,,
fol. 17r,GB-E_0032,#0032,GB-E 0032-x,15,xv,
fol. 17v,GB-E_0033,#0033,GB-E 0033-x,,,
fol. 18r,GB-E_0034,#0034,GB-E 0034-x,16,xvi,
fol. 18v,GB-E_0035,#0035,GB-E 0035-x,,,
fol. 19r,GB-E_0036,#0036,GB-E 0036-x,17,xvii,
fol. 19v,GB-E_0037,#0037,GB-E 0037-x,,,
fol. 20r,GB-E_0038,#0038,GB-E 0038-x,18,xviii,
fol. 20v,GB-E_0039,#0039,GB-E 0039-x,,,
fol. 21r,GB-E_0040,#0040,GB-E 0040-x,19,xviiii,
fol. 21v,GB-E_0041,#0041,GB-E 0041-x,,,
fol. 22r,GB-E_0042,#0042,GB-E 0042-x,20,xx,
fol. 22v,GB-E_0043,#0043,GB-E 0043-x,,,
fol. 23r,GB-E_0044,#0044,GB-E 0044-x,21,xxi,
fol. 23v,GB-E_0045,#0045,GB-E 0045-x,,,
fol. 24r,GB-E_0046,#0046,GB-E 0046-x,22,xxii,
fol. 24v,GB-E_0047,#0047,GB-E 0047-x,,,
fol. 25r,GB-E_0048,#0048,GB-E 0048-x,23,xxiii,
fol. 25v,GB-E_0049,#0049,GB-E 0049-x,,,
fol. 26r,GB-E_0050,#0050,GB-E 0050-x,24,xxiiii,
fol. 26v,GB-E_0051,#0051,GB-E 0051-x,,,
fol. 27r,GB-E_0052,#0052,GB-E 0052-x,25,xxv,
fol. 27v,GB-E_0053,#0053,GB-E 0053-x,,,
fol. 28r,GB-E_0054,#0054,GB-E 0054-x,26,xxvi,
fol. 28v,GB-E_0055,#0055,GB-E 0055-x,,,
fol. 29r,GB-E_0056,#0056,GB-E 0056-x,27,27,
fol. 29v,GB-E_0057,#0057,GB-E 0057-x,,,
fol. 30r,GB-E_0058,#0058,GB-E 0058-x,28,,
fol. 30v,GB-E_0059,#0059,GB-E 0059-x,,,
fol. 31r,GB-E_0060,#0060,GB-E 0060-x,29,,
fol. 31v,GB-E_0061,#0061,GB-E 0061-x,,,
fol. 32r,GB-E_0062,#0062,GB-E 0062-x,30,,
fol. 32v,GB-E_0063,#0063,GB-E 0063-x,,,
fol. 33r,GB-E_0064,#0064,GB-E 0064-x,31,,
fol. 33v,GB-E_0065,#0065,GB-E 0065-x,,,
fol. 34r,GB-E_0066,#0066,GB-E 0066-x,32,,
fol. 34v,GB-E_0067,#0067,GB-E 0067-x,,,
fol. 35r,GB-E_0068,#0068,GB-E 0068-x,33,,
fol. 35v,GB-E_0069,#0069,GB-E 0069-x,,,
fol. 36r,GB-E_0070,#0070,GB-E 0070-x,34,34,
fol. 36v,GB-E_0071,#0071,GB-E 0071-x,,,
fol. 37r,GB-E_0072,#0072,GB-E 0072-x,35,35,
fol. 37v,GB-E_0073,#0073,GB-E 0073-x,,,
fol. 38r,GB-E_0074,#0074,GB-E 0074-x,36,,
fol. 38v,GB-E_0075,#0075,GB-E 0075-x,,,
fol. 39r,GB-E_0076,#0076,GB-E 0076-x,37,37,
fol. 39v,GB-E_0077,#0077,GB-E 0077-x,,,
fol. 40r,GB-E_0078,#0078,GB-E 0078-x,38,,
fol. 40v,GB-E_0079,#0079,GB-E 0079-x,,,
fol. 41r,GB-E_0080,#0080,GB-E 0080-x,39,,
fol. 41v,GB-E_0081,#0081,GB-E 0081-x,,,
fol. 42r,GB-E_0082,#0082,GB-E 0082-x,40,40,
fol. 42v,GB-E_0083,#0083,GB-E 0083-x,,,
fol. 43r,GB-E_0084,#0084,GB-E 0084-x,41,41,
fol. 43v,GB-E_0085,#0085,GB-E 0085-x,,,
fol. 44r,GB-E_0086,#0086,GB-E 0086-x,42,42,
fol. 44v,GB-E_0087,#0087,GB-E 0087-x,,,
fol. 45r,GB-E_0088,#0088,GB-E 0088-x,43,,
fol. 45v,GB-E_0089,#0089,GB-E 0089-x,,,
fol. 46r,GB-E_0090,#0090,GB-E 0090-x,44,44,
fol. 46v,GB-E_0091,#0091,GB-E 0091-x,,,
fol. 47r,GB-E_0092,#0092,GB-E 0092-x,45,45,
fol. 47v,GB-E_0093,#0093,GB-E 0093-x,,,
fol. 48r,GB-E_0094,#0094,GB-E 0094-x,46,46,
fol. 48v,GB-E_0095,#0095,GB-E 0095-x,,,
fol. 49r,GB-E_0096,#0096,GB-E 0096-x,47,47,
fol. 49v,GB-E_0097,#0097,GB-E 0097-x,,,
fol. 50r,GB-E_0098,#0098,GB-E 0098-x,48,48,
fol. 50v,GB-E_0099,#0099,GB-E 0099-x,,,
fol. 51r,GB-E_0100,#0100,GB-E 0100-x,49,,
fol. 51v,GB-E_0101,#0101,GB-E 0101-x,,,
fol. 52r,GB-E_0102,#0102,GB-E 0102-x,50,50,
fol. 52v,GB-E_0103,#0103,GB-E 0103-x,,,
fol. 53r,GB-E_0104,#0104,GB-E 0104-x,51,,
fol. 53v,GB-E_0105,#0105,GB-E 0105-x,,,
fol. 54r,GB-E_0106,#0106,GB-E 0106-x,52,52,
fol. 54v,GB-E_0107,#0107,GB-E 0107-x,,,
fol. 55r,GB-E_0108,#0108,GB-E 0108-x,53,53,
fol. 55v,GB-E_0109,#0109,GB-E 0109-x,,,
fol. 56r,GB-E_0110,#0110,GB-E 0110-x,54,54,
fol. 56v,GB-E_0111,#0111,GB-E 0111-x,,,
fol. 57r,GB-E_0112,#0112,GB-E 0112-x,55,55,
fol. 57v,GB-E_0113,#0113,GB-E 0113-x,,,
fol. 58r,GB-E_0114,#0114,GB-E 0114-x,56,56,
fol. 58v,GB-E_0115,#0115,GB-E 0115-x,,,
fol. 59r,GB-E_0116,#0116,GB-E 0116-x,57,57,
fol. 59v,GB-E_0117,#0117,GB-E 0117-x,,,
fol. 60r,GB-E_0118,#0118,GB-E 0118-x,58,58,
fol. 60v,GB-E_0119,#0119,GB-E 0119-x,,,
fol. 61r,GB-E_0120,#0120,GB-E 0120-x,59,59,
fol. 61v,GB-E_0121,#0121,GB-E 0121-x,,,
fol. 62r,GB-E_0122,#0122,GB-E 0122-x,60,,
fol. 62v,GB-E_0123,#0123,GB-E 0123-x,,,
fol. 63r,GB-E_0124,#0124,GB-E 0124-x,61,,
fol. 63v,GB-E_0125,#0125,GB-E 0125-x,,,
fol. 64r,GB-E_0126,#0126,GB-E 0126-x,62,,
fol. 64v,GB-E_0127,#0127,GB-E 0127-x,,,
fol. 65r,GB-E_0128,#0128,GB-E 0128-x,63,,
fol. 65v,GB-E_0129,#0129,GB-E 0129-x,,,
fol. 66r,GB-E_0130,#0130,GB-E 0130-x,64,64,
fol. 66v,GB-E_0131,#0131,GB-E 0131-x,,,
fol. 67r,GB-E_0132,#0132,GB-E 0132-x,65,65,
fol. 67v,GB-E_0133,#0133,GB-E 0133-x,,,
fol. 68r,GB-E_0134,#0134,GB-E 0134-x,66,,
fol. 68v,GB-E_0135,#0135,GB-E 0135-x,,,
fol. 69r,GB-E_0136,#0136,GB-E 0136-x,67,67,
fol. 69v,GB-E_0137,#0137,GB-E 0137-x,,,
fol. 70r,GB-E_0138,#0138,GB-E 0138-x,68,,
fol. 70v,GB-E_0139,#0139,GB-E 0139-x,,,
fol. 71r,GB-E_0140,#0140,GB-E 0140-x,69,,
fol. 71v,GB-E_0141,#0141,GB-E 0141-x,,,
fol. 72r,GB-E_0142,#0142,GB-E 0142-x,70,70,
