Zählung Helmchen,Scan-Dateiname,originale Scan-Nummer,Eintrag,Foliierung ar.,Foliierung lat.,Kommentar
Vorderdeckel außen,KB-E_001,#001,,,,
Vorderdeckel innen,KB-E_002,#002,,,,
fol. 1r,KB-E_003,#003,(Titelseite),,,
fol. 1v,KB-E_004,#004,(leer),,,
fol. 2r,KB-E_005,#005,KB-E 005-x,1,,
fol. 2v,KB-E_006,#006,KB-E 006-x,1,ii,Die beiden Foliierungen sind durchgehend um 1 verschoben
fol. 3r,KB-E_007,#007,KB-E 007-x,2,,
fol. 3v,KB-E_008,#008,KB-E 008-x,2,iii,
fol. 4r,KB-E_009,#009,KB-E 009-x,3,,
fol. 4v,KB-E_010,#010,KB-E 010-x,,iiii,
fol. 5r,KB-E_011,#011,KB-E 011-x,4,,
fol. 5v,KB-E_012,#012,KB-E 012-x,4,v,
fol. 6r,KB-E_013,#013,KB-E 013-x,5,,
fol. 6v,KB-E_014,#014,KB-E 014-x,5,vi,
fol. 7r,KB-E_015,#015,KB-E 015-x,6,,
fol. 7v,KB-E_016,#016,KB-E 016-x,6,vii,
fol. 8r,KB-E_017,#017,KB-E 017-x,7,,
fol. 8v,KB-E_018,#018,KB-E 018-x,7,viii,
fol. 9r,KB-E_019,#019,KB-E 019-x,8,,
fol. 9v,KB-E_020,#020,KB-E 020-x,8,viiii,
fol. 10r,KB-E_021,#021,KB-E 021-x,9,,
fol. 10v,KB-E_022,#022,KB-E 022-x,9,x,
fol. 11r,KB-E_023,#023,KB-E 023-x,10,,
fol. 11v,KB-E_024,#024,KB-E 024-x,10,xi,
fol. 12r,KB-E_025,#025,KB-E 025-x,11,,
fol. 12v,KB-E_026,#026,KB-E 026-x,11,vii,
fol. 13r,KB-E_027,#027,KB-E 027-x,12,,
fol. 13v,KB-E_028,#028,KB-E 028-x,12,xiii,
fol. 14r,KB-E_029,#029,KB-E 029-x,13,,
fol. 14v,KB-E_030,#030,KB-E 030-x,13,viiii,
fol. 15r,KB-E_031,#031,KB-E 031-x,14,,
fol. 15v,KB-E_032,#032,KB-E 032-x,14,xv,
fol. 16r,KB-E_033,#033,KB-E 033-x,15,,
fol. 16v,KB-E_034,#034,KB-E 034-x,15,xvi,
fol. 17r,KB-E_035,#035,KB-E 035-x,16,,
fol. 17v,KB-E_036,#036,(leer),16,xvii,
fol. 18r,KB-E_037,#037,KB-E 037-x,17,,
fol. 18v,KB-E_038,#038,KB-E 038-x,17,xviii,
fol. 19r,KB-E_039,#039,KB-E 039-x,18,,
fol. 19v,KB-E_040,#040,KB-E 040-x,18,xviiii,
fol. 20r,KB-E_041,#041,KB-E 041-x,19,,
fol. 20v,KB-E_042,#042,KB-E 042-x,19,xx,
fol. 21r,KB-E_043,#043,KB-E 043-x,20,,
fol. 21v,KB-E_044,#044,KB-E 044-x,20,xxi,
fol. 22r,KB-E_045,#045,KB-E 045-x,21,,
fol. 22v,KB-E_046,#046,KB-E 046-x,21,xxii,
fol. 23r,KB-E_047,#047,KB-E 047-x,22,,
fol. 23v,KB-E_048,#048,KB-E 048-x,22,xxiii,
fol. 24r,KB-E_049,#049,KB-E 049-x,23,,
fol. 24v,KB-E_050,#050,KB-E 050-x,23,xxiiii,
fol. 25r,KB-E_051,#051,(leer),24,,
fol. 25v,KB-E_052,#052,(leer),24,xxv,
fol. 26r,KB-E_053,#053,(leer),25,,
fol. 26v,KB-E_054,#054,(leer),25,xxvi,
fol. 27r,KB-E_055,#055,(leer),26,,
fol. 27v,KB-E_056,#056,(leer),26,xxvii,
fol. 28r,KB-E_057,#057,KB-E 057-x,27,,
fol. 28v,KB-E_058,#058,KB-E 058-x,27,xxviii,
fol. 29r,KB-E_059,#059,KB-E 059-x,28,,
fol. 29v,KB-E_060,#060,KB-E 060-x,28,xxviiii,
fol. 30r,KB-E_061,#061,KB-E 061-x,29,,
fol. 30v,KB-E_062,#062,KB-E 062-x,29,xxx,
fol. 31r,KB-E_063,#063,KB-E 063-x,30,,
fol. 31v,KB-E_064,#064,KB-E 064-x,30,xxxi,
fol. 32r,KB-E_065,#065,KB-E 065-x,31,,
fol. 32v,KB-E_066,#066,(leer),31,xxxii,
fol. 33r,KB-E_067,#067,KB-E 067-x,32,,
fol. 33v,KB-E_068,#068,KB-E 068-x,32,xxxiii,
fol. 34r,KB-E_069,#069,KB-E 069-x,33,,
fol. 34v,KB-E_070,#070,KB-E 070-x,33,xxxiiii,
fol. 35r,KB-E_071,#071,KB-E 071-x,34,,
fol. 35v,KB-E_072,#072,KB-E 072-x,34,xxxv,
fol. 36r,KB-E_073,#073,KB-E 073-x,35,,
fol. 36v,KB-E_074,#074,KB-E 074-x,35,xxxvi,
fol. 37r,KB-E_075,#075,KB-E 075-x,36,,
fol. 37v,KB-E_076,#076,KB-E 076-x,36,xxxvii,
fol. 38r,KB-E_077,#077,KB-E 077-x,37,,
fol. 38v,KB-E_078,#078,KB-E 078-x,37,xxxviii,
fol. 39r,KB-E_079,#079,KB-E 079-x,38,,
fol. 39v,KB-E_080,#080,KB-E 080-x,38,xxxviiii,
fol. 40r,KB-E_081,#081,KB-E 081-x,39,,
fol. 40v,KB-E_082,#082,(leer),39,xl,
fol. 41r,KB-E_083,#083,KB-E 083-x,40,,
fol. 41v,KB-E_084,#084,KB-E 084-x,40,xli,
fol. 42r,KB-E_085,#085,KB-E 085-x,41,,
fol. 42v,KB-E_086,#086,KB-E 086-x,41,xlii,
fol. 43r,KB-E_087,#087,KB-E 087-x,42,,
fol. 43v,KB-E_088,#088,KB-E 088-x,42,xliii,
fol. 44r,KB-E_089,#089,KB-E 089-x,43,,
fol. 44v,KB-E_090,#090,KB-E 090-x,43,xliiii,
fol. 45r,KB-E_091,#091,KB-E 091-x,44,,
fol. 45v,KB-E_092,#092,KB-E 092-x,44,xlv,
fol. 46r,KB-E_093,#093,KB-E 093-x,45,,
fol. 46v,KB-E_094,#094,KB-E 094-x,45,xlvi,
fol. 47r,KB-E_095,#095,KB-E 095-x,46,,
fol. 47v,KB-E_096,#096,KB-E 096-x,46,xlvii,
fol. 48r,KB-E_097,#097,KB-E 097-x,47,,
fol. 48v,KB-E_098,#098,KB-E 098-x,47,xlviii,
fol. 49r,KB-E_099,#099,(leer),48,,
fol. 49v,KB-E_100,#100,(leer),48,xlviiii,
fol. 50r,KB-E_101,#101,(leer),49,,
fol. 50v,KB-E_102,#102,(leer),49,l,
fol. 51r,KB-E_103,#103,(leer),50,,
fol. 51v,KB-E_104,#104,(leer),50,li,
fol. 52r,KB-E_105,#105,(leer),51,,
fol. 52v,KB-E_106,#106,(leer),51,lii,
fol. 53r,KB-E_107,#107,KB-E 107-x,52,,
fol. 53v,KB-E_108,#108,KB-E 108-x,52,liii,
fol. 54r,KB-E_109,#109,KB-E 109-x,53,,
fol. 54v,KB-E_110,#110,KB-E 110-x,53,liiii,
fol. 55r,KB-E_111,#111,KB-E 111-x,54,,
fol. 55v,KB-E_112,#112,KB-E 112-x,54,lv,
fol. 56r,KB-E_113,#113,KB-E 113-x,55,,
fol. 56v,KB-E_114,#114,KB-E 114-x,55,lvi,
fol. 57r,KB-E_115,#115,KB-E 115-x,56,,
fol. 57v,KB-E_116,#116,KB-E 116-x,56,lvii,
fol. 58r,KB-E_117,#117,KB-E 117-x,57,,
fol. 58v,KB-E_118,#118,KB-E 118-x,57,lviii,
fol. 59r,KB-E_119,#119,KB-E 119-x,58,,
fol. 59v,KB-E_120,#120,KB-E 120-x,58,lviiii,
fol. 60r,KB-E_121,#121,(leer),59,,
fol. 60v,KB-E_122,#122,(leer),59,lx,
fol. 61r,KB-E_123,#123,KB-E 123-x,60,,
fol. 61v,KB-E_124,#124,KB-E 124-x,60,lxi,
fol. 62r,KB-E_125,#125,KB-E 125-x,61,,
fol. 62v,KB-E_126,#126,KB-E 126-x,61,,
fol. 63r,KB-E_127,#127,KB-E 127-x,62,,
fol. 63v,KB-E_128,#128,KB-E 128-x,62,lxiii,
fol. 64r,KB-E_129,#129,KB-E 129-x,63,,
fol. 64v,KB-E_130,#130,KB-E 130-x,63,lxiiii,
fol. 65r,KB-E_131,#131,KB-E 131-x,64,,
fol. 65v,KB-E_132,#132,KB-E 132-x,64,lxv,
fol. 66r,KB-E_133,#133,KB-E 133-x,65,,
fol. 66v,KB-E_134,#134,KB-E 134-x,65,lxvi,
fol. 67r,KB-E_135,#135,KB-E 135-x,66,,
fol. 67v,KB-E_136,#136,KB-E 136-x,66,lxvii,
fol. 68r,KB-E_137,#137,KB-E 137-x,67,,
fol. 68v,KB-E_138,#138,KB-E 138-x,67,lxviii,
fol. 69r,KB-E_139,#139,KB-E 139-x,68,,
fol. 69v,KB-E_140,#140,KB-E 140-x,68,lxviiii,
fol. 70r,KB-E_141,#141,KB-E 141-x,,,
fol. 70v,KB-E_142,#142,KB-E 142-x,69,lxx,
fol. 71r,KB-E_143,#143,KB-E 143-x,70,,
fol. 71v,KB-E_144,#144,KB-E 144-x,70,lxxi,
fol. 72r,KB-E_145,#145,KB-E 145-x,71,,
fol. 72v,KB-E_146,#146,(leer),71,lxxii,
fol. 73r,KB-E_147,#147,(leer),72,,
fol. 73v,KB-E_148,#148,(leer),72,lxiii,
fol. 74r,KB-E_149,#149,(leer),73,,
fol. 74v,KB-E_150,#150,(leer),73,lxxiiii,
fol. 75r,KB-E_151,#151,(leer),74,,
fol. 75v,KB-E_152,#152,(leer),74,lxxv,
fol. 76r,KB-E_153,#153,(leer),75,,
fol. 76v,KB-E_154,#154,(leer),75,lxxvi,
fol. 77r,KB-E_155,#155,KB-E 155-x,76,,
