Zählung Helmchen,Scan-Dateiname,originale Scan-Nummer,Eintrag,Foliierung ar.,Foliierung lat.,logische Sortierung,Kommentar
Vorderdeckel außen,KB-E2_GB-C_001,#001,,,,,
Vorderdeckel innen,KB-E2_GB-C_002,#002,,,,,
fol. 1r,KB-E2_GB-C_003,#003,KB-E2 509-x,252,CCliii,S,"KB-E2 (Scan 003 bis 080) setzt die Foliierung von KB-E fort, die Foliierungen sind weiterhin um 1 verschoben"
fol. 1v,KB-E2_GB-C_004,#004,KB-E2 510-x,252,,,
fol. 2r,KB-E2_GB-C_005,#005,KB-E2 511-x,253,CCliiii,,
fol. 2v,KB-E2_GB-C_006,#006,KB-E2 512-x,253,,,
fol. 3r,KB-E2_GB-C_007,#007,KB-E2 513-x,254,CClv,,
fol. 3v,KB-E2_GB-C_008,#008,KB-E2 514-x,254,,,
fol. 4r,KB-E2_GB-C_009,#009,KB-E2 515-x,255,CClvi,,
fol. 4v,KB-E2_GB-C_010,#010,KB-E2 516-x,255,,,
fol. 5r,KB-E2_GB-C_011,#011,KB-E2 517-x,256,CClvii,,
fol. 5v,KB-E2_GB-C_012,#012,KB-E2 518-x,256,,,
fol. 6r,KB-E2_GB-C_013,#013,KB-E2 519-x,257,CClviii,,
fol. 6v,KB-E2_GB-C_014,#014,KB-E2 520-x,257,,,
fol. 7r,KB-E2_GB-C_015,#015,KB-E2 521-x,258,CClviiii,,
fol. 7v,KB-E2_GB-C_016,#016,KB-E2 522-x,258,,,
fol. 8r,KB-E2_GB-C_017,#017,KB-E2 523-x,259,CClx,,
fol. 8v,KB-E2_GB-C_018,#018,KB-E2 524-x,259,,,
fol. 9r,KB-E2_GB-C_019,#019,KB-E2 525-x,260,CClxi,,
fol. 9v,KB-E2_GB-C_020,#020,KB-E2 526-x,260,,,
fol. 10r,KB-E2_GB-C_021,#021,KB-E2 527-x,261,,,
fol. 10v,KB-E2_GB-C_022,#022,KB-E2 528-x,261,CClxii,,originale Zählung CClxii auf der falschen Seite
